,label,text
195,нет категории,"в заказе выделенный сервер с 2мя дисками по 2тб, которые поидее должны встать зеркалом, но при конфигурации swap нигде не увидел этой настройки."
196,нет категории,Писать в письме о том где и как доделать регистрацию и как попасть на сайт
197,нет категории,muito bom
198,нет категории,!
199,нет категории,"Когда теперь Я получу,как пользоваться всеми услугами?"
200,нет категории,"Здравствуйте!\n\nВыполнил вход на главной странице, а при оплате логин и пароль запрашиваются снова — пришлось снова вводить.\nНе проблема, но нет ведь предела совершенствованию сервиса, не так ли? \n\nС уважением,\nЕвгений."
201,нет категории,непонятно почему приходит письмо о невозможности привязки SSL-сертификата
202,нет категории,Установить под мой код сайта Ubuntu 14.04 x64
203,нет категории,OS\tubuntu14.04-x86_64
204,нет категории,"Странно, оставить второй отзыв это уже много?"
205,нет категории,Надоело каждый раз подтверждать номер телефона.
206,нет категории,подтверждение email запоздало чуток
207,нет категории,"Я первый раз, поэтому подсказать не могу."
208,нет категории,ноне
209,нет категории,дайте возможность отменять случайно оплаченные доменные имена
210,нет категории,Описывать дополнительные услуги на языке выгод
211,нет категории,Вернуть возможность
212,нет категории,хз))
213,нет категории,Дать мне денег - да побольше =)
214,нет категории,цукенгшщдж
215,нет категории,Сделайте поле ввода
216,нет категории,Добавьте DLE для CMS
217,нет категории,автоматический ввод номера телефона
218,нет категории,"Больше информации о том, как самому создать сайт на популярных CMS и как продвигать его. \nВ общем будет круто если будут чек-листы по каждой CMS. А так все обычно."
219,нет категории,Не могу подтвердить   E-mail
220,нет категории,Убрать секретную фразу и сделать двухфакторную авторизацию
221,нет категории,Отменить обязательное использование номера телефона
222,нет категории,Отменить автооплаты в настройках по умолчанию
223,нет категории,Хочу чтоб сайты был высоко в поисковиках
224,нет категории,все
225,нет категории,хостинг
226,нет категории,-
227,нет категории,Больше никогда не будем оформлять регистрацию в вашем сервисе.
228,нет категории,54654654
229,нет категории,"Пока не начал работать, не могу сказать."
230,нет категории,Зачем второй раз указывать имейл?
231,нет категории,fdhfthtyhftghfg
232,нет категории,1
233,нет категории,"Для смены Администратора домена полностью передав его другому пользователю ,процесс сложный а иногда и невыполнимый,,упростите пожалуйста сделав этот процесс в онлайн режиме и хотя бы сканировав паспорт человека<,а не заполнением форм и т.д"
234,нет категории,d
235,нет категории,Пришлось погуглить что такое конструктор сайтов wpb17
236,нет категории,1
237,нет категории,ппппппп
238,нет категории,Присылать оповещения о сроках домена
239,нет категории,Все льдисчго
240,нет категории,Улучшить пояс гения для чайников)))
241,нет категории,4
242,нет категории,1
243,нет категории,Приложение админки на андроид
244,нет категории,Возникли проблемы с паролем.
245,нет категории,нет категории мои домены где был бы статус доменов\nотдельной категории профиль
246,нет категории,?
247,нет категории,Бесплатный ssl для кириллических доменов.
248,нет категории,я не понял как при регистрации отказаться от бесплатного хостинга
249,нет категории,"Не сразу нашли нужное доменное имя, сначала начали искать в магазине доменов, там его не было, нашли просто перейдя на вкладку домены"
250,нет категории,"Почему-то у меня не работает конструктор сайтов в личном кабинете, мне нужен сайт на котором будет размещён текст и будут ссылки на скачивание архивных файлов. Всё очень просто, но что делать дальше - в личном кабинете я не пойму. Попробуйте улучшить это. Подскажите, пожалуйста, на мой email - как мне создать такой сайт?"
251,нет категории,снизить важность) очень много аутентификаций
252,нет категории,Слишком сложно открепить домен от хостинга
253,нет категории,"Олег крутой, а серега лох"
254,нет категории,конструктор конечно жесть
255,нет категории,Задолбали
256,нет категории,Изначально хотел взять тестевый период. Пришлось искать его в поддержке.
257,нет категории,Сократить количество переходов из окна в окно при регистрации.
258,нет категории,"Я пока чайник, но думаю освоюсь все подсказки есть."
259,нет категории,1
260,нет категории,при предложении конструктора сайта недостаточное описание предложенных вариантов. в остальном все отлично.
261,нет категории,показать хотя бы 10 вариантов для оформления сайтов конструкторов
262,нет категории,смс подтверждение номера не приходит сразу
263,нет категории,все долго
264,нет категории,на почту не пришло уведомление и при покупке возникла ошибка.
265,нет категории,восстановление пароля через новый лк
266,нет категории,Можно улучшить страницу поиска и подборов доменов
267,нет категории,kontekst
268,нет категории,"Ia ne grajdanin Rosii, po etomu kraine noponeatnaia potverjdenie licinosti"
269,нет категории,Удалите предыдуший заказ который вместе с хостингом не правильно продлил место продления заказал еще один
270,нет категории,.
271,нет категории,Нет примера для ввода нескольких электронных адресов через запятую - в примере всего один адрес
272,нет категории,очень много писем от вас
273,нет категории,3
274,нет категории,так себе
275,нет категории,"При подборе имени домена убрать вариации названия (большинство просто нелепо глупые) из списка доступных, или сделать эту возможность отключаемой."
276,нет категории,!!!!!!!!!!!!!!!!
277,нет категории,a
278,нет категории,@
279,нет категории,"почему я не могу сложить все в одну корзину?? мне пришлось оплатить отдельно .com домен, я на него хотел ssl сертификат, а нельзя, далее хостинг оплатил и домен в подарок .ру и там же хотел .com оплатить а нельзя. и там же я хотел сделать на .com сертифика а нельзя. на godaddy все сразу"
280,нет категории,"Молодцы. Сделать бы еще автоматическую интеграцию с популярными конструкторами, цены б не было."
281,нет категории,укук
282,нет категории,"встроенное в браузер хром авто заполнение  от он аккаунта в google , работает не корректно в поле ввода (не знаю правда по чьей вине , вашей или браузера)\nпоэтому 4"
283,нет категории,"Прошу дать данные о dns, которые требует конструктор моего сайта.Что касается регистрации домена - было много сложностей, но если всё дальше буде нормально, то надеюсь, что это будет так."
284,нет категории,ter
285,нет категории,Подставляет из браузера не те данные. Пришлось два раза исправлять.
286,нет категории,de
287,нет категории,edx
288,нет категории,у меня уже был сайт я просто хотел продлить зачем мне выбор панели?
289,нет категории,Испанский пожалуйста и спасибо
290,нет категории,"После оплаты не получили письмо на почту, что услуги оплачены и готовы к настройке и использованию("
291,нет категории,"Услуга доменного брокера по сути не работеат, никто имена не продает... :("
292,нет категории,Осовременить конструкторы
293,нет категории,хуйня
294,нет категории,Как мне домен теперь на этот хостинг повесить что бы сайт работал?
295,нет категории,миру пизда стране тоже...
296,нет категории,Не видно шаблонов хостинга
297,нет категории,завязывайте ломать наши привычки)
298,нет категории,qwe
299,нет категории,Не пытаться привязать мою карту
300,нет категории,"ВЫ НЕАДЕКВАТНЫЕ? У МЕНЯ САЙТ С ЗАВТРАШНЕГО ДНЯ ПЕРЕСТАНЕТ РАБОТАТЬ С ТАКИМ ЗАКАЗОМ УСЛУГИ. ПРИДУРКИ. У МЕНЯ ДРУГИХ СЛОВ НЕТ. ВЧЕРА МНЕ ПИСАЛО УВЕДОМЛЕНИЕ ЧТО ДЛЯ БЕСПЛАТНОЙ УСЛУГИ ТРЕБУЕТСЯ ТЕЛЕФОН, НА КОТОРЫЙ ВЫ НЕ МОЖЕТЕ ОТПРАВИТЬ СМС. Я УЖЕ ПЛЮНУЛА КУПИЛА У ВАС ХОСТИНГ, ДУМАЛА ПЛАТНО ПРОБЛЕМ НЕТ. ТАК И ТАМ НАДО НОМЕР ТЕЛЕФОНА ОКАЗЫВАЕТСЯ. ПОЧЕМУ ПЕРЕД ОПЛАТОЙ НОВОЙ УСЛУГИ ВЫ НЕ ПРЕДУПРЕЖДОЕТЕ ЧТО ВАШИМИ ПОТЕНЦИАЛЬНЫМИ КЛИЕНТАМИ МОГУТ БЫТЬ ЛЮДИ ИЗ СПИСКА СТРАН КУДА ВЫ МОЖЕТЕ ОТПРАВИТСМС ДЛЯ АКТИВАЦИИ УСЛУГИ. ДА У МЕНЯ СЛОВ НЕТ. ИДИОТЫ. СТОЯЛА У ВАС 3 ГОДА. НИКАКИХ РАССЫЛОК НЕ ПОЛУЧАЛА ЧТО У ВАС ИЗМЕНИЛАСЬ ПОЛИТИКА ИСПОЛЬЗОВАНИЯ САЙТА. Я ВООБЩЕ НЕ ИМЕЮ ЖЕЛАНИЯ ПРИВЯЗЫВАТЬ ТЕЛЕФОН К ПРОФИЛЮ. ЧТО ЭТО ЗА ИДИОТСТВО."
301,нет категории,Медленно
302,нет категории,//
303,нет категории,Подтверждение телефона глючит. Вводил по потери интереса код из смс.
304,нет категории,З
305,нет категории,4
306,нет категории,добавить выбор xfs формата
307,нет категории,"Сократились шаги, но при заказе регистрации и хостинга лучше оставить возможность установки Электронной почты для сервера отдельно. Как вариант сделать чекбокс для установки другой почты."
308,нет категории,научите переносить готовый сайт на ваш хостинг и редактировать его . делала сайт на WIХ
309,нет категории,напрягает только что не можешь создать несколько аккаунтов
310,нет категории,уберите автоплатеж  ! при оформлении домена . включенный автоплатеж по умолчанию то есть
311,нет категории,Не хватает XFS в выборе файловых систем.
312,нет категории,нет выпадающих списков
313,нет категории,Нужно показывать ограничения тарифов виртуального хостинга более явно. Я про число одновременных http-запросов к сайту.
314,нет категории,С установкой пароля я не понял: откуда мне взять старый пароль? я первый раз регистрируюсь...!
315,нет категории,Много вопросов
316,нет категории,"хостинг не подключается уже 4 дня, статус неактивный, логина пароля в панель управления хостингом нет"
317,нет категории,неудобно что профиль выбираешь после регитсраици домена
318,нет категории,нет возможности выбора тарифа на тестовый период
319,нет категории,не работать с regti.ru  ужасный ваш партнёр
320,нет категории,свести сравнение тарифов в таблицу (как в яндекс маркете)
321,нет категории,"у меня были сложности при помещении сайта в интернет, с этим посмотрим как будет"
322,нет категории,и
323,нет категории,\\
324,нет категории,В этот раз я не понял как мне подключить услугу скрытия информации на год
325,нет категории,"Улучшить регистрацию по партнерской ссылке. Вариант, когда ваш партнер забывает зарегистрировать своего клиента по партнерской ссылке или у него просто не получается это сделать в нужный момент, чтобы потом можно было зачесть как партнерскую регистрацию (допустим, в теч. 3-5 суток). Мне в этом отказали, а перерегистрировать его по своей партнерке, есстно, уже не вариант:( в итоге партнерка теряет свою привлекательность (когда пользуешься этим не часто, а клиенту что-то нужно сделать быстро, то про выгоду забываешь."
326,нет категории,"В корзине оказался ""левое"" доменое имя"
327,нет категории,Мобильное приложение! Сильно не хватает)
328,нет категории,"Plesk не так уж и медленно развивается, обновлять почаще и все))"
329,нет категории,мне лень писать комент
330,нет категории,"ужасно много вирусов-два года тут было спокойно, а теперь за неделю полное заражение и хостинга и сайта"
331,нет категории,Конструктор сайтов
332,нет категории,напомните позже
333,нет категории,Cegth
334,нет категории,1
335,нет категории,1
336,нет категории,1
337,нет категории,c
338,нет категории,Не нашел тестдрайв ВДС и ВПС
339,нет категории,"Я сделал дизайн интерфейса для оформление заказа, если интересно напишите на почту )"
340,нет категории,"Меня напугало письмо, которое я получила после покупки домена:\nЗдравствуйте!\nВас приветствует Регистратор доменных имён REG.RU!\nВы заказали сертификат «Цифровой сертификат Бесплатный DomainSSL для unknown-shop.ru». К сожалению указанное вами доменное имя не зарегистрировано или недоступно. Вам необходимо зарегистрировать домен unknown-shop.ru или обеспечить его доступность, после чего сертификат будет выпущен.\n\nСвяжитесь со мной пожалуйста, если от меня еще что-то потребуется и сертификат будет работать?"
341,нет категории,The form was not designed to be filled out by foreign nationals. Very disappointing.
342,нет категории,Авто настройка записей для конструкторов сайтов итд.
343,нет категории,Перенести сайт с другого хостинга
344,нет категории,Меню хостинга
345,нет категории,кпав
346,нет категории,"Заказала хостинг сайта, зарегистрированного у другого регистратора. Так и не поняла пока, где его настроить."
347,нет категории,Процедуру оформления домена
348,нет категории,"В разделе продления доменов не нашла, где описаны тарифы - Эконом, Стандарт... в чем разница и где посмотреть."
349,нет категории,Прекрасный сайт конструктор
350,нет категории,"Вышел из одного аккаунта, вошел в другой. Зарегистрировал домен, домен по чему то зарегался на первом аккаунте, из которого я вышел! Теперь переносить придётся("
351,нет категории,4
352,нет категории,saasddasasd
353,нет категории,С Уважением
354,нет категории,все г
355,нет категории,непонятны самостоятельно открывающиеся страницы и их назначение
356,нет категории,процедуру переноса доменов с R01
357,нет категории,"не задавайте тупых вопросов на сайте, а переводите в личный кабинет"
358,нет категории,каким-то образом добавляются рандомно домены в корзину
359,нет категории,1
360,нет категории,cegth
361,нет категории,ВЫ ВСЕ ГОВНО
362,нет категории,"Отказаться от использования почтовых сервисов mail.ru, yandex и Google."
363,нет категории,hhhhhhhhhhhhhhh
364,нет категории,не востановиь пароль
365,нет категории,No
366,нет категории,"Когда в корзине несколько доменов мобильная версия не работает, отображается полная версия сайта"
367,нет категории,61651456
368,нет категории,"Увеличить количество и качество предлагаемых ""похожих"" доменных имен, когда желаемый домен занят"
369,нет категории,Напишите что активация 24 часа займёт
370,нет категории,информацию чем отличаются разновидности услуги и в каком случае  и что лучше выбрать
371,нет категории,Молодцы!!!
372,нет категории,Непонятна цель заполнения этой формы.
373,нет категории,количество шаблонов для оформления сайтов.
374,нет категории,не понятно почему всегда слетает почта для бизнеса..
375,нет категории,!
376,нет категории,1
377,нет категории,Конструктор в демо версии
378,нет категории,отказаться от деятельности в этой сфере
379,нет категории,Для неопытного пользователя не хватает понимания сути услуги и как она работает вкупе с уже заказанными
380,нет категории,нахеридигавно1
381,нет категории,/
382,нет категории,"непривычно, при каждом изменении дизайна приходится искать кнопки которые только успел запомнить."
383,нет категории,НЕОБХОДИМО БОЛЬШЕ ВАРИАНТОВ ТЕМ В КОНСТРУКТОРЕ САЙТОВ
384,нет категории,нет OS Panel
385,нет категории,Скорость принятия решений
386,нет категории,"Нет возможности посмотреть какая система была на ""старом сервере"". И вообще перейти к управлению текущими доменами, все время перенаправляет на этот визард."
387,нет категории,удалили мой впс год назад со всеми файлами а я снова к вам иду как дурак
388,нет категории,Как сменить пароль?
389,нет категории,ggg
390,нет категории,ggg
391,нет категории,"Упростите возможность поставить ваш конструктор сайтов на чужой домен, должна быть большая красная кнопка."
392,нет категории,p
393,нет категории,"Конструктор сайтов, просто отвратен и непонятен, обратная связь, такое чувство, что ее нет. В остальном все хорошо."
